brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Ram,1500,2021,38881,Black,Tradesman,New,Other,4 x 4,,Gasoline,0,,,https://i.ebayimg.com/00/s/NTEwWDgwMA==/z/GBIAAOSwfYNgR1Tc/$_27.JPG,"2685 Highway 7 West, Concord, ON, L4K 1V8"
Hyundai,Elantra,2018,15592,Blue,GL,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,50610,https://reports.carproof.com/en/main?id=g7WaE0aQ9yENpdEn0m2TyJJ9yfN7cfVH&ref=kijiji,,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/ruQAAOSweVhgVE4u/$_27.JPG,"1800 Toyo Circle, Mississauga, ON, L4W 0E7"
Hyundai,Tucson,2019,20694,Silver,Preferred AWD Heated Seats & Wheel Backup Camera,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,50983,https://reports.carproof.com/en/main?id=%2fRPnjoL4kUuTlHB6qD%2fdp%2b534OZMISAR&ref=kijiji,,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/XnsAAOSwp4ZgSvdr/$_27.JPG,"7200 Yonge Street, Toronto, ON, M2M 3V7"
Other,Other,2018,17995,White,AWD LEATHER,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,46577,https://www.carproof.com/order?ref=kijiji&vin=25398077,25398077,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/S~kAAOSw4oBgMUE6/$_27.JPG,"4732 Sheppard Avenue East, Scarborough, ON, M1S 3V6"
Nissan,Other,2021,21963,Blue,S,New,"SUV, Crossover",Front-wheel drive (FWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/sEsAAOSwkPlgS0uV/$_27.JPG,"1350 The Queensway, Toronto, ON, M8Z 1S5"
Cadillac,Escalade,2009,24800,Black,Navi|Back Up Cam|Sunroof|Accident Free|,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,175660,https://www.carproof.com/order?ref=kijiji&vin=3GYFK12209G128685,3GYFK12209G128685,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/uCoAAOSw-tVgbs5C/$_27.JPG,"2620 Saint Clair Avenue West, York, ON, M6N 1M1"
Acura,TL,2004,4500,Red,premium,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,205635,,,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/LOQAAOSwNdpgcEWg/$_27.PNG,"Hazelbrae Rd, Toronto, ON M6S 1H1, Canada"
Toyota,RAV4,2021,44363,Red,Limited,New,"SUV, Crossover",All-wheel drive (AWD),,Gasoline,0,,,https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/UXUAAOSwm~dgC0vZ/$_27.JPG,"2336 Saint Clair Avenue West, Toronto, ON, M6N 1K8"
Ram,1500,2021,79289,Black,Limited Longhorn,New,Pickup Truck,4 x 4,Automatic,Other,0,,,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/MTcAAOSwKhJgcCoa/$_27.JPG,"212 Lakeshore Road West, Mississauga, ON, L5H 1G6"
BMW,3-Series,2013,25000,Black,,Used,Convertible,,,,140000,,,https://i.ebayimg.com/00/s/MTMzNFg3NTA=/z/EXAAAOSwn0dgcEUP/$_27.JPG,"Toronto, ON M1B4K4"
